manager_id,primary_archetype,confidence,favorite_positions,strength,weakness,exploit_strategy,avoid_strategy,target_strategy
{74BB4243-DBAE-4F53-B44E-4BD091059259},Balanced,High,"WR, RB, QB",No major behavioral weakness detected.,Less predictable.,Use standard auction principles.,Avoid assuming predictable tendencies.,Prioritize roster construction over matchup tactics.
{19D1DD9C-0399-480D-BF89-665D6B1E3BC4},Balanced,High,"RB, WR, QB",No major behavioral weakness detected.,Less predictable.,Use standard auction principles.,Avoid assuming predictable tendencies.,Prioritize roster construction over matchup tactics.
{0CAA3095-F39E-419B-AA30-95F39EF19BFD},Balanced,Low,"WR, RB, TE",No major behavioral weakness detected.,Less predictable.,Use standard auction principles.,Avoid assuming predictable tendencies.,Prioritize roster construction over matchup tactics.
{EF9098F5-9F59-4CD9-9DAF-DD0BB49AAE98},Balanced,Medium,"WR, RB, QB",No major behavioral weakness detected.,Less predictable.,Use standard auction principles.,Avoid assuming predictable tendencies.,Prioritize roster construction over matchup tactics.
{4D0EB596-A4FF-4A67-9781-E287C6AEBEB9},Balanced,High,"RB, WR, QB",No major behavioral weakness detected.,Less predictable.,Use standard auction principles.,Avoid assuming predictable tendencies.,Prioritize roster construction over matchup tactics.
{0606EA12-F1DD-46DC-AD64-5BBB77C7FBA0},Balanced,High,"WR, RB, QB",No major behavioral weakness detected.,Less predictable.,Use standard auction principles.,Avoid assuming predictable tendencies.,Prioritize roster construction over matchup tactics.
{0EACE3A7-D466-49E3-8215-27D02C303DD5},Balanced,High,"RB, WR, TE",No major behavioral weakness detected.,Less predictable.,Use standard auction principles.,Avoid assuming predictable tendencies.,Prioritize roster construction over matchup tactics.
{D1BB66CC-C624-4EFB-A903-610BBD8BC6FB},Balanced,High,"RB, WR, QB",No major behavioral weakness detected.,Less predictable.,Use standard auction principles.,Avoid assuming predictable tendencies.,Prioritize roster construction over matchup tactics.
{4931351F-1C68-451E-937C-87B0C6CCCF5E},Balanced,High,"RB, WR, QB",No major behavioral weakness detected.,Less predictable.,Use standard auction principles.,Avoid assuming predictable tendencies.,Prioritize roster construction over matchup tactics.
{50BD0E27-9A94-4299-A430-801818AE7FD3},Balanced,Medium,"WR, RB, QB",No major behavioral weakness detected.,Less predictable.,Use standard auction principles.,Avoid assuming predictable tendencies.,Prioritize roster construction over matchup tactics.
"{747BE81C-57BC-46C7-9F3A-530CB8AB1A90}, {B61A326A-20D9-4ECC-AD14-FD043471A8F4}",Balanced,Low,"WR, RB, TE",No major behavioral weakness detected.,Less predictable.,Use standard auction principles.,Avoid assuming predictable tendencies.,Prioritize roster construction over matchup tactics.
{EB4B0726-9D8A-4827-8AD7-BDB440E89192},The Shark,Low,"WR, RB, TE",Willing to spend aggressively and influence prices.,May overpay early.,Force expensive decisions early. Do not compete emotionally.,Avoid unnecessary bidding battles.,Save budget and attack discounted late players.
{E7A504AE-3B49-4CF1-B4F7-AA7EEBF5E474},The Sniper,High,"WR, RB, QB",Patient and disciplined with spending.,May wait too long on targets.,Increase nomination pressure on players they likely value.,Do not assume late value will always be available.,Secure players before endgame discounts disappear.
{337F82E7-47FE-4690-BF82-E747FE569002},The Value Hunter,High,"WR, RB, TE",Finds discounts and avoids overpaying.,Can hesitate on premium talent.,Push prices slightly above their comfort zone.,Do not expect them to chase expensive players.,Use aggressive nominations to drain their budget.
{747BE81C-57BC-46C7-9F3A-530CB8AB1A90},The Whale,Medium,"RB, WR, D/ST",Aggressively acquires premium talent.,Can leave roster depth vulnerable.,"Avoid premium bidding wars. Let them spend budget, then attack value.",Do not chase elite players against this manager.,Prioritize mid-tier starters after their major purchases.
"{B61A326A-20D9-4ECC-AD14-FD043471A8F4}, {7B2363C9-F4A6-42D8-85E8-1CCA2D6DFC08}",The Whale,Low,"RB, WR, D/ST",Aggressively acquires premium talent.,Can leave roster depth vulnerable.,"Avoid premium bidding wars. Let them spend budget, then attack value.",Do not chase elite players against this manager.,Prioritize mid-tier starters after their major purchases.
